,RejectRate,n,Power,SamplingScheme,Count
0,NA,100,0.2,False,0
1,NA,100,0.2,True,0
2,0.0,100,0.25,False,200
3,0.0,100,0.25,True,200
4,0.0,100,0.3,False,200
5,0.0,100,0.3,True,194
6,0.0,100,0.35,False,200
7,0.0,100,0.35,True,200
8,0.0,100,0.4,False,200
9,0.0,100,0.4,True,200
10,0.0,100,0.45,False,200
11,0.0,100,0.45,True,200
12,0.09,100,0.5,False,200
13,0.03,100,0.5,True,200
14,0.06,100,0.55,False,200
15,0.0,100,0.55,True,200
16,0.25,100,0.6,False,200
17,0.0,100,0.6,True,200
18,0.7,100,0.65,False,200
19,0.0,100,0.65,True,200
20,0.94,100,0.7,False,200
21,0.0,100,0.7,True,200
22,1.0,100,0.75,False,200
23,0.0,100,0.75,True,200
24,1.0,100,0.8,False,200
25,0.03,100,0.8,True,200
26,1.0,100,0.85,False,200
27,0.03,100,0.85,True,200
28,1.0,100,0.9,False,200
29,0.03,100,0.9,True,200
30,1.0,100,0.95,False,200
31,0.0,100,0.95,True,200
32,0.0,316,0.2,False,200
33,0.0,316,0.2,True,200
34,0.0,316,0.25,False,200
35,0.0,316,0.25,True,200
36,0.0,316,0.3,False,200
37,0.0,316,0.3,True,200
38,0.0,316,0.35,False,200
39,0.0,316,0.35,True,200
40,0.0,316,0.4,False,200
41,0.0,316,0.4,True,200
42,0.0,316,0.45,False,200
43,0.0,316,0.45,True,200
44,0.03,316,0.5,False,200
45,0.0,316,0.5,True,200
46,0.0,316,0.55,False,200
47,0.0,316,0.55,True,200
48,0.06,316,0.6,False,200
49,0.0,316,0.6,True,200
50,0.46,316,0.65,False,200
51,0.0,316,0.65,True,200
52,0.94,316,0.7,False,200
53,0.0,316,0.7,True,200
54,1.0,316,0.75,False,200
55,0.0,316,0.75,True,200
56,1.0,316,0.8,False,200
57,0.0,316,0.8,True,200
58,1.0,316,0.85,False,200
59,0.0,316,0.85,True,200
60,1.0,316,0.9,False,200
61,0.0,316,0.9,True,200
62,1.0,316,0.95,False,200
63,0.0,316,0.95,True,200
64,0.0,1000,0.2,False,200
65,0.0,1000,0.2,True,200
66,0.0,1000,0.25,False,200
67,0.0,1000,0.25,True,200
68,0.0,1000,0.3,False,200
69,0.0,1000,0.3,True,200
70,0.0,1000,0.35,False,200
71,0.0,1000,0.35,True,200
72,0.0,1000,0.4,False,200
73,0.0,1000,0.4,True,200
74,0.0,1000,0.45,False,200
75,0.0,1000,0.45,True,200
76,0.0,1000,0.5,False,200
77,0.0,1000,0.5,True,200
78,0.0,1000,0.55,False,200
79,0.0,1000,0.55,True,200
80,0.0,1000,0.6,False,200
81,0.0,1000,0.6,True,200
82,0.0,1000,0.65,False,200
83,0.0,1000,0.65,True,200
84,0.4,1000,0.7,False,200
85,0.0,1000,0.7,True,200
86,1.0,1000,0.75,False,200
87,0.0,1000,0.75,True,200
88,1.0,1000,0.8,False,200
89,0.0,1000,0.8,True,200
90,1.0,1000,0.85,False,200
91,0.0,1000,0.85,True,200
92,1.0,1000,0.9,False,200
93,0.0,1000,0.9,True,200
94,1.0,1000,0.95,False,200
95,0.0,1000,0.95,True,200
96,0.0,3162,0.2,False,200
97,0.0,3162,0.2,True,200
98,0.0,3162,0.25,False,200
99,0.0,3162,0.25,True,200
100,0.0,3162,0.3,False,200
101,0.0,3162,0.3,True,200
102,0.0,3162,0.35,False,200
103,0.0,3162,0.35,True,200
104,0.0,3162,0.4,False,200
105,0.0,3162,0.4,True,200
106,0.0,3162,0.45,False,200
107,0.0,3162,0.45,True,200
108,0.0,3162,0.5,False,200
109,0.0,3162,0.5,True,200
110,0.0,3162,0.55,False,200
111,0.0,3162,0.55,True,200
112,0.0,3162,0.6,False,200
113,0.0,3162,0.6,True,200
114,0.0,3162,0.65,False,200
115,0.0,3162,0.65,True,200
116,0.0,3162,0.7,False,200
117,0.0,3162,0.7,True,200
118,0.94,3162,0.75,False,200
119,0.0,3162,0.75,True,200
120,1.0,3162,0.8,False,200
121,0.0,3162,0.8,True,200
122,1.0,3162,0.85,False,200
123,0.0,3162,0.85,True,200
124,1.0,3162,0.9,False,200
125,0.0,3162,0.9,True,200
126,1.0,3162,0.95,False,200
127,0.0,3162,0.95,True,200
128,0.0,10000,0.2,False,200
129,0.0,10000,0.2,True,200
130,0.0,10000,0.25,False,200
131,0.0,10000,0.25,True,200
132,0.0,10000,0.3,False,200
133,0.0,10000,0.3,True,200
134,0.0,10000,0.35,False,200
135,0.0,10000,0.35,True,200
136,0.0,10000,0.4,False,200
137,0.0,10000,0.4,True,200
138,0.0,10000,0.45,False,200
139,0.0,10000,0.45,True,200
140,0.0,10000,0.5,False,200
141,0.0,10000,0.5,True,200
142,0.0,10000,0.55,False,200
143,0.0,10000,0.55,True,200
144,0.0,10000,0.6,False,200
145,0.0,10000,0.6,True,200
146,0.0,10000,0.65,False,200
147,0.0,10000,0.65,True,200
148,0.0,10000,0.7,False,200
149,0.0,10000,0.7,True,200
150,0.0,10000,0.75,False,200
151,0.0,10000,0.75,True,200
152,1.0,10000,0.8,False,200
153,0.0,10000,0.8,True,200
154,1.0,10000,0.85,False,200
155,0.0,10000,0.85,True,200
156,1.0,10000,0.9,False,200
157,0.0,10000,0.9,True,200
158,1.0,10000,0.95,False,200
159,0.0,10000,0.95,True,200
160,0.0,31622,0.2,False,200
161,0.0,31622,0.2,True,200
162,0.0,31622,0.25,False,200
163,0.0,31622,0.25,True,200
164,0.0,31622,0.3,False,200
165,0.0,31622,0.3,True,200
166,0.0,31622,0.35,False,200
167,0.0,31622,0.35,True,200
168,0.0,31622,0.4,False,200
169,0.0,31622,0.4,True,200
170,0.0,31622,0.45,False,200
171,0.0,31622,0.45,True,200
172,0.0,31622,0.5,False,200
173,0.0,31622,0.5,True,200
174,0.0,31622,0.55,False,200
175,0.0,31622,0.55,True,200
176,0.0,31622,0.6,False,200
177,0.0,31622,0.6,True,200
178,0.0,31622,0.65,False,200
179,0.0,31622,0.65,True,200
180,0.0,31622,0.7,False,200
181,0.0,31622,0.7,True,200
182,0.0,31622,0.75,False,200
183,0.0,31622,0.75,True,200
184,1.0,31622,0.8,False,200
185,0.0,31622,0.8,True,200
186,1.0,31622,0.85,False,200
187,0.0,31622,0.85,True,200
188,1.0,31622,0.9,False,200
189,0.0,31622,0.9,True,200
190,1.0,31622,0.95,False,200
191,0.0,31622,0.95,True,200
192,0.0,100000,0.2,False,200
193,0.0,100000,0.2,True,200
194,0.0,100000,0.25,False,200
195,0.0,100000,0.25,True,200
196,0.0,100000,0.3,False,200
197,0.0,100000,0.3,True,200
198,0.0,100000,0.35,False,200
199,0.0,100000,0.35,True,200
200,0.0,100000,0.4,False,200
201,0.0,100000,0.4,True,200
202,0.0,100000,0.45,False,200
203,0.0,100000,0.45,True,200
204,0.0,100000,0.5,False,200
205,0.0,100000,0.5,True,200
206,0.0,100000,0.55,False,200
207,0.0,100000,0.55,True,200
208,0.0,100000,0.6,False,200
209,0.0,100000,0.6,True,200
210,0.0,100000,0.65,False,200
211,0.0,100000,0.65,True,200
212,0.0,100000,0.7,False,200
213,0.0,100000,0.7,True,200
214,0.0,100000,0.75,False,200
215,0.0,100000,0.75,True,200
216,0.0,100000,0.8,False,200
217,0.0,100000,0.8,True,200
218,1.0,100000,0.85,False,200
219,0.0,100000,0.85,True,200
220,1.0,100000,0.9,False,200
221,0.0,100000,0.9,True,200
222,1.0,100000,0.95,False,200
223,0.0,100000,0.95,True,200
